fecha,red,impresiones,visualizaciones,alcance,seguidores_nuevos,likes,comentarios,compartidos,mensajes,seguidores_total
2024-07-30,Facebook,,0,,0,,,,0,
2024-07-31,Facebook,,0,,0,,,,0,
2024-08-01,Facebook,,0,,0,,,,0,
2024-08-02,Facebook,,0,,0,,,,0,
2024-08-03,Facebook,,0,,0,,,,0,
2024-08-04,Facebook,,0,,0,,,,0,
2024-08-05,Facebook,,0,,0,,,,0,
2024-08-06,Facebook,,0,,0,,,,0,
2024-08-07,Facebook,,0,,0,,,,0,
2024-08-08,Facebook,,0,,0,,,,0,
2024-08-10,Facebook,,0,,0,,,,0,
2024-08-11,Facebook,,0,,0,,,,0,
2024-08-12,Facebook,,0,,0,,,,0,
2024-08-13,Facebook,,0,,0,,,,0,
2024-08-14,Facebook,,0,,0,,,,0,
2024-08-15,Facebook,,0,,0,,,,0,
2024-08-16,Facebook,,0,,0,,,,0,
2024-08-17,Facebook,,0,,0,,,,0,
2024-08-18,Facebook,,0,,0,,,,0,
2024-08-19,Facebook,,0,,0,,,,0,
2024-08-20,Facebook,,0,,0,,,,0,
2024-08-21,Facebook,,0,,0,,,,0,
2024-08-22,Facebook,,0,,0,,,,0,
2024-08-23,Facebook,,0,,0,,,,0,
2024-08-24,Facebook,,0,,0,,,,0,
2024-08-25,Facebook,,0,,0,,,,0,
2024-08-26,Facebook,,0,,0,,,,0,
2024-08-27,Facebook,,0,,0,,,,0,
2024-08-28,Facebook,,0,,0,,,,0,
2024-08-29,Facebook,,0,,0,,,,0,
2024-08-30,Facebook,,0,,0,,,,0,
2024-08-31,Facebook,,0,,0,,,,0,
2024-09-01,Facebook,,0,,0,,,,0,
2024-09-02,Facebook,,0,,0,,,,0,
2024-09-03,Facebook,,0,,0,,,,0,
2024-09-04,Facebook,,0,,0,,,,0,
2024-09-05,Facebook,,0,,0,,,,0,
2024-09-06,Facebook,,0,,0,,,,0,
2024-09-07,Facebook,,0,,0,,,,0,
2024-09-09,Facebook,,0,,0,,,,0,
2024-09-10,Facebook,,0,,0,,,,0,
2024-09-11,Facebook,,0,,0,,,,0,
2024-09-12,Facebook,,0,,0,,,,0,
2024-09-13,Facebook,,0,,0,,,,0,
2024-09-14,Facebook,,0,,0,,,,0,
2024-09-15,Facebook,,0,,0,,,,0,
2024-09-16,Facebook,,0,,0,,,,0,
2024-09-17,Facebook,,0,,0,,,,0,
2024-09-18,Facebook,,0,,0,,,,0,
2024-09-19,Facebook,,0,,0,,,,0,
2024-09-20,Facebook,,0,,0,,,,0,
2024-09-21,Facebook,,0,,0,,,,0,
2024-09-22,Facebook,,0,,0,,,,0,
2024-09-23,Facebook,,0,,0,,,,0,
2024-09-24,Facebook,,0,,0,,,,0,
2024-09-25,Facebook,,0,,0,,,,0,
2024-09-26,Facebook,,0,,0,,,,0,
2024-09-27,Facebook,,0,,0,,,,0,
2024-09-28,Facebook,,0,,0,,,,0,
2024-09-29,Facebook,,0,,0,,,,0,
2024-09-30,Facebook,,0,,0,,,,0,
2024-10-01,Facebook,,0,,0,,,,0,
2024-10-02,Facebook,,0,,0,,,,0,
2024-10-03,Facebook,,0,,0,,,,0,
2024-10-04,Facebook,,0,,0,,,,0,
2024-10-05,Facebook,,0,,0,,,,0,
2024-10-06,Facebook,,0,,0,,,,0,
2024-10-07,Facebook,,0,,0,,,,0,
2024-10-09,Facebook,,0,,0,,,,0,
2024-10-10,Facebook,,0,,0,,,,0,
2024-10-11,Facebook,,0,,0,,,,0,
2024-10-12,Facebook,,0,,0,,,,0,
2024-10-13,Facebook,,0,,0,,,,0,
2024-10-14,Facebook,,0,,0,,,,0,
2024-10-15,Facebook,,0,,0,,,,0,
2024-10-16,Facebook,,0,,0,,,,0,
2024-10-17,Facebook,,0,,0,,,,0,
2024-10-18,Facebook,,0,,0,,,,0,
2024-10-19,Facebook,,0,,0,,,,0,
2024-10-20,Facebook,,0,,0,,,,0,
2024-10-21,Facebook,,0,,0,,,,0,
2024-10-22,Facebook,,0,,0,,,,0,
2024-10-23,Facebook,,0,,0,,,,0,
2024-10-24,Facebook,,0,,0,,,,0,
2024-10-25,Facebook,,0,,0,,,,0,
2024-10-26,Facebook,,0,,0,,,,0,
2024-10-27,Facebook,,0,,0,,,,0,
2024-10-28,Facebook,,0,,0,,,,0,
2024-10-29,Facebook,,0,,0,,,,0,
2024-10-30,Facebook,,0,,0,,,,0,
2024-10-31,Facebook,,0,,0,,,,0,
2024-11-01,Facebook,,0,,0,,,,0,
2024-11-02,Facebook,,0,,0,,,,0,
2024-11-03,Facebook,,0,,0,,,,0,
2024-11-04,Facebook,,0,,0,,,,0,
2024-11-05,Facebook,,0,,0,,,,0,
2024-11-06,Facebook,,0,,0,,,,0,
2024-11-08,Facebook,,0,,0,,,,0,
2024-11-09,Facebook,,0,,0,,,,0,
2024-11-10,Facebook,,0,,0,,,,0,
2024-11-11,Facebook,,0,,0,,,,0,
2024-11-12,Facebook,,0,,0,,,,0,
2024-11-13,Facebook,,0,,0,,,,0,
2024-11-14,Facebook,,0,,0,,,,0,
2024-11-15,Facebook,,0,,0,,,,0,
2024-11-16,Facebook,,0,,0,,,,0,
2024-11-17,Facebook,,0,,0,,,,0,
2024-11-18,Facebook,,0,,0,,,,0,
2024-11-19,Facebook,,0,,0,,,,0,
2024-11-20,Facebook,,0,,0,,,,0,
2024-11-21,Facebook,,0,,0,,,,0,
2024-11-22,Facebook,,0,,0,,,,0,
2024-11-23,Facebook,,0,,0,,,,0,
2024-11-24,Facebook,,0,,0,,,,0,
2024-11-25,Facebook,,0,,0,,,,0,
2024-11-26,Facebook,,0,,0,,,,0,
2024-11-27,Facebook,,0,,0,,,,0,
2024-11-28,Facebook,,0,,0,,,,0,
2024-11-29,Facebook,,0,,0,,,,0,
2024-11-30,Facebook,,0,,0,,,,0,
2024-12-01,Facebook,,0,,0,,,,0,
2024-12-02,Facebook,,0,,0,,,,0,
2024-12-03,Facebook,,0,,0,,,,0,
2024-12-04,Facebook,,0,,0,,,,0,
2024-12-05,Facebook,,0,,0,,,,0,
2024-12-06,Facebook,,0,,0,,,,0,
2024-12-08,Facebook,,0,,0,,,,0,
2024-12-09,Facebook,,0,,0,,,,0,
2024-12-10,Facebook,,0,,0,,,,0,
2024-12-11,Facebook,,0,,0,,,,0,
2024-12-12,Facebook,,0,,0,,,,0,
2024-12-13,Facebook,,0,,0,,,,0,
2024-12-14,Facebook,,0,,0,,,,0,
2024-12-15,Facebook,,0,,0,,,,0,
2024-12-16,Facebook,,0,,0,,,,0,
2024-12-17,Facebook,,0,,0,,,,0,
2024-12-18,Facebook,,0,,0,,,,0,
2024-12-19,Facebook,,0,,0,,,,0,
2024-12-20,Facebook,,0,,0,,,,0,
2024-12-21,Facebook,,0,,0,,,,0,
2024-12-22,Facebook,,0,,0,,,,0,
2024-12-23,Facebook,,0,,0,,,,0,
2024-12-24,Facebook,,0,,0,,,,0,
2024-12-25,Facebook,,0,,0,,,,0,
2024-12-26,Facebook,,0,,0,,,,0,
2024-12-27,Facebook,,0,,0,,,,0,
2024-12-28,Facebook,,0,,0,,,,0,
2024-12-29,Facebook,,0,,0,,,,0,
2024-12-30,Facebook,,0,,0,,,,0,
2024-12-31,Facebook,,0,,0,,,,0,
2025-01-01,Facebook,,0,,0,,,,0,
2025-01-02,Facebook,,0,,0,,,,0,
2025-01-03,Facebook,,0,,0,,,,0,
2025-01-04,Facebook,,0,,0,,,,0,
2025-01-05,Facebook,,0,,0,,,,0,
2025-01-07,Facebook,,0,,0,,,,0,
2025-01-08,Facebook,,0,,0,,,,0,
2025-01-09,Facebook,,0,,0,,,,0,
2025-01-10,Facebook,,0,,0,,,,0,
