fecha,red,impresiones,visualizaciones,alcance,seguidores_nuevos,likes,comentarios,compartidos,mensajes,seguidores_total
2026-07-31,TikTok,,,,,,,,,13
2026-08-01,TikTok,,,,,,,,,13
2026-08-02,TikTok,,,,,,,,,13
2026-08-03,TikTok,,,,,,,,,13
2026-08-04,TikTok,,,,,,,,,13
2026-08-05,TikTok,,,,,,,,,12
2026-08-06,TikTok,,,,,,,,,12
2026-08-07,TikTok,,,,,,,,,12
2026-08-08,TikTok,,,,,,,,,12
2026-08-09,TikTok,,,,,,,,,12
2026-08-10,TikTok,,,,,,,,,12
2026-08-11,TikTok,,,,,,,,,12
2026-08-12,TikTok,,,,,,,,,12
2026-08-13,TikTok,,,,,,,,,12
2026-08-14,TikTok,,,,,,,,,12
2026-08-15,TikTok,,,,,,,,,12
2026-08-16,TikTok,,,,,,,,,12
2026-08-17,TikTok,,,,,,,,,12
2026-08-18,TikTok,,,,,,,,,11
2026-08-19,TikTok,,,,,,,,,11
2026-08-20,TikTok,,,,,,,,,11
2026-08-21,TikTok,,,,,,,,,11
2026-08-22,TikTok,,,,,,,,,11
2026-08-23,TikTok,,,,,,,,,11
2026-08-24,TikTok,,,,,,,,,11
