fecha,red,dimension,categoria,valor,unidad
2026-07-30,YouTube,edad,13-17,3.5,pct_visualizaciones
2026-07-30,YouTube,edad,25-34,7.6,pct_visualizaciones
2026-07-30,YouTube,edad,35-44,10.8,pct_visualizaciones
2026-07-30,YouTube,edad,45-54,20.2,pct_visualizaciones
2026-07-30,YouTube,edad,55-64,25.1,pct_visualizaciones
2026-07-30,YouTube,edad,65+,32.9,pct_visualizaciones
2026-07-30,YouTube,genero,F,46.2,pct_visualizaciones
2026-07-30,YouTube,genero,M,53.9,pct_visualizaciones
2026-07-30,YouTube,pais,AR,4.31,pct_visualizaciones
2026-07-30,YouTube,pais,CL,2.07,pct_visualizaciones
2026-07-30,YouTube,pais,CO,2.6,pct_visualizaciones
2026-07-30,YouTube,pais,CU,0.89,pct_visualizaciones
2026-07-30,YouTube,pais,DO,0.64,pct_visualizaciones
2026-07-30,YouTube,pais,ES,75.72,pct_visualizaciones
2026-07-30,YouTube,pais,MX,8.31,pct_visualizaciones
2026-07-30,YouTube,pais,PE,0.48,pct_visualizaciones
2026-07-30,YouTube,pais,US,2.5,pct_visualizaciones
2026-07-30,YouTube,pais,VE,2.96,pct_visualizaciones
2026-07-31,YouTube,edad,13-17,3.5,pct_visualizaciones
2026-07-31,YouTube,edad,25-34,7.6,pct_visualizaciones
2026-07-31,YouTube,edad,35-44,10.8,pct_visualizaciones
2026-07-31,YouTube,edad,45-54,20.2,pct_visualizaciones
2026-07-31,YouTube,edad,55-64,25.1,pct_visualizaciones
2026-07-31,YouTube,edad,65+,32.9,pct_visualizaciones
2026-07-31,YouTube,genero,F,46.2,pct_visualizaciones
2026-07-31,YouTube,genero,M,53.9,pct_visualizaciones
2026-07-31,YouTube,pais,AR,4.31,pct_visualizaciones
2026-07-31,YouTube,pais,CL,2.07,pct_visualizaciones
2026-07-31,YouTube,pais,CO,2.6,pct_visualizaciones
2026-07-31,YouTube,pais,CU,0.89,pct_visualizaciones
2026-07-31,YouTube,pais,DO,0.64,pct_visualizaciones
2026-07-31,YouTube,pais,ES,75.72,pct_visualizaciones
2026-07-31,YouTube,pais,MX,8.31,pct_visualizaciones
2026-07-31,YouTube,pais,US,2.5,pct_visualizaciones
2026-07-31,YouTube,pais,VE,2.96,pct_visualizaciones
