fecha,red,impresiones,visualizaciones,alcance,seguidores_nuevos,likes,comentarios,compartidos,mensajes,seguidores_total
2024-07-30,YouTube,,0,,0,0,0,0,,
2024-07-31,YouTube,,0,,0,0,0,0,,
2024-08-01,YouTube,,0,,0,0,0,0,,
2024-08-02,YouTube,,0,,0,0,0,0,,
2024-08-03,YouTube,,0,,0,0,0,0,,
2024-08-04,YouTube,,0,,0,0,0,0,,
2024-08-05,YouTube,,0,,0,0,0,0,,
2024-08-06,YouTube,,0,,0,0,0,0,,
2024-08-07,YouTube,,0,,0,0,0,0,,
2024-08-08,YouTube,,0,,0,0,0,0,,
2024-08-09,YouTube,,0,,0,0,0,0,,
2024-08-10,YouTube,,0,,0,0,0,0,,
2024-08-11,YouTube,,0,,0,0,0,0,,
2024-08-12,YouTube,,0,,0,0,0,0,,
2024-08-13,YouTube,,0,,0,0,0,0,,
2024-08-14,YouTube,,0,,0,0,0,0,,
2024-08-15,YouTube,,0,,0,0,0,0,,
2024-08-16,YouTube,,0,,0,0,0,0,,
2024-08-17,YouTube,,0,,0,0,0,0,,
2024-08-18,YouTube,,0,,0,0,0,0,,
2024-08-19,YouTube,,0,,0,0,0,0,,
2024-08-20,YouTube,,0,,0,0,0,0,,
2024-08-21,YouTube,,0,,0,0,0,0,,
2024-08-22,YouTube,,0,,0,0,0,0,,
2024-08-23,YouTube,,0,,0,0,0,0,,
2024-08-24,YouTube,,0,,0,0,0,0,,
2024-08-25,YouTube,,0,,0,0,0,0,,
2024-08-26,YouTube,,0,,0,0,0,0,,
2024-08-27,YouTube,,0,,0,0,0,0,,
2024-08-28,YouTube,,0,,0,0,0,0,,
2024-08-29,YouTube,,0,,0,0,0,0,,
2024-08-30,YouTube,,0,,0,0,0,0,,
2024-08-31,YouTube,,0,,0,0,0,0,,
2024-09-01,YouTube,,0,,0,0,0,0,,
2024-09-02,YouTube,,0,,0,0,0,0,,
2024-09-03,YouTube,,0,,0,0,0,0,,
2024-09-04,YouTube,,0,,0,0,0,0,,
2024-09-05,YouTube,,0,,0,0,0,0,,
2024-09-06,YouTube,,0,,0,0,0,0,,
2024-09-07,YouTube,,0,,0,0,0,0,,
2024-09-08,YouTube,,0,,0,0,0,0,,
2024-09-09,YouTube,,0,,0,0,0,0,,
2024-09-10,YouTube,,0,,0,0,0,0,,
2024-09-11,YouTube,,0,,0,0,0,0,,
2024-09-12,YouTube,,0,,0,0,0,0,,
2024-09-13,YouTube,,0,,0,0,0,0,,
2024-09-14,YouTube,,0,,0,0,0,0,,
2024-09-15,YouTube,,0,,0,0,0,0,,
2024-09-16,YouTube,,0,,0,0,0,0,,
2024-09-17,YouTube,,0,,0,0,0,0,,
2024-09-18,YouTube,,0,,0,0,0,0,,
2024-09-19,YouTube,,0,,0,0,0,0,,
2024-09-20,YouTube,,0,,0,0,0,0,,
2024-09-21,YouTube,,0,,0,0,0,0,,
2024-09-22,YouTube,,0,,0,0,0,0,,
2024-09-23,YouTube,,0,,0,0,0,0,,
2024-09-24,YouTube,,0,,0,0,0,0,,
2024-09-25,YouTube,,0,,0,0,0,0,,
2024-09-26,YouTube,,0,,0,0,0,0,,
2024-09-27,YouTube,,0,,0,0,0,0,,
2024-09-28,YouTube,,0,,0,0,0,0,,
2024-09-29,YouTube,,0,,0,0,0,0,,
2024-09-30,YouTube,,0,,0,0,0,0,,
2024-10-01,YouTube,,0,,0,0,0,0,,
2024-10-02,YouTube,,0,,0,0,0,0,,
2024-10-03,YouTube,,0,,0,0,0,0,,
2024-10-04,YouTube,,0,,0,0,0,0,,
2024-10-05,YouTube,,0,,0,0,0,0,,
2024-10-06,YouTube,,0,,0,0,0,0,,
2024-10-07,YouTube,,0,,0,0,0,0,,
2024-10-08,YouTube,,0,,0,0,0,0,,
2024-10-09,YouTube,,0,,0,0,0,0,,
2024-10-10,YouTube,,0,,0,0,0,0,,
2024-10-11,YouTube,,0,,0,0,0,0,,
2024-10-12,YouTube,,0,,0,0,0,0,,
2024-10-13,YouTube,,0,,0,0,0,0,,
2024-10-14,YouTube,,0,,0,0,0,0,,
2024-10-15,YouTube,,0,,0,0,0,0,,
2024-10-16,YouTube,,0,,0,0,0,0,,
2024-10-17,YouTube,,0,,0,0,0,0,,
2024-10-18,YouTube,,0,,0,0,0,0,,
2024-10-19,YouTube,,0,,0,0,0,0,,
2024-10-20,YouTube,,0,,0,0,0,0,,
2024-10-21,YouTube,,0,,0,0,0,0,,
2024-10-22,YouTube,,0,,0,0,0,0,,
2024-10-23,YouTube,,0,,0,0,0,0,,
2024-10-24,YouTube,,0,,0,0,0,0,,
2024-10-25,YouTube,,0,,0,0,0,0,,
2024-10-26,YouTube,,0,,0,0,0,0,,
2024-10-27,YouTube,,0,,0,0,0,0,,
2024-10-28,YouTube,,0,,0,0,0,0,,
2024-10-29,YouTube,,0,,0,0,0,0,,
2024-10-30,YouTube,,0,,0,0,0,0,,
2024-10-31,YouTube,,0,,0,0,0,0,,
2024-11-01,YouTube,,0,,0,0,0,0,,
2024-11-02,YouTube,,0,,0,0,0,0,,
2024-11-03,YouTube,,0,,0,0,0,0,,
2024-11-04,YouTube,,0,,0,0,0,0,,
2024-11-05,YouTube,,0,,0,0,0,0,,
2024-11-06,YouTube,,0,,0,0,0,0,,
2024-11-07,YouTube,,0,,0,0,0,0,,
2024-11-08,YouTube,,0,,0,0,0,0,,
2024-11-09,YouTube,,0,,0,0,0,0,,
2024-11-10,YouTube,,0,,0,0,0,0,,
2024-11-11,YouTube,,0,,0,0,0,0,,
2024-11-12,YouTube,,0,,0,0,0,0,,
2024-11-13,YouTube,,0,,0,0,0,0,,
2024-11-14,YouTube,,0,,0,0,0,0,,
2024-11-15,YouTube,,0,,0,0,0,0,,
2024-11-16,YouTube,,0,,0,0,0,0,,
2024-11-17,YouTube,,0,,0,0,0,0,,
2024-11-18,YouTube,,0,,0,0,0,0,,
2024-11-19,YouTube,,0,,0,0,0,0,,
2024-11-20,YouTube,,0,,0,0,0,0,,
2024-11-21,YouTube,,0,,0,0,0,0,,
2024-11-22,YouTube,,0,,0,0,0,0,,
2024-11-23,YouTube,,0,,0,0,0,0,,
2024-11-24,YouTube,,0,,0,0,0,0,,
2024-11-25,YouTube,,0,,0,0,0,0,,
2024-11-26,YouTube,,0,,0,0,0,0,,
2024-11-27,YouTube,,0,,0,0,0,0,,
2024-11-28,YouTube,,0,,0,0,0,0,,
2024-11-29,YouTube,,0,,0,0,0,0,,
2024-11-30,YouTube,,0,,0,0,0,0,,
2024-12-01,YouTube,,0,,0,0,0,0,,
2024-12-02,YouTube,,0,,0,0,0,0,,
2024-12-03,YouTube,,0,,0,0,0,0,,
2024-12-04,YouTube,,0,,0,0,0,0,,
2024-12-05,YouTube,,0,,0,0,0,0,,
2024-12-06,YouTube,,0,,0,0,0,0,,
2024-12-07,YouTube,,0,,0,0,0,0,,
2024-12-08,YouTube,,0,,0,0,0,0,,
2024-12-09,YouTube,,0,,0,0,0,0,,
2024-12-10,YouTube,,0,,0,0,0,0,,
2024-12-11,YouTube,,0,,0,0,0,0,,
2024-12-12,YouTube,,0,,0,0,0,0,,
2024-12-13,YouTube,,0,,0,0,0,0,,
2024-12-14,YouTube,,0,,0,0,0,0,,
2024-12-15,YouTube,,0,,0,0,0,0,,
2024-12-16,YouTube,,0,,0,0,0,0,,
2024-12-17,YouTube,,0,,0,0,0,0,,
2024-12-18,YouTube,,0,,0,0,0,0,,
2024-12-19,YouTube,,0,,0,0,0,0,,
2024-12-20,YouTube,,0,,0,0,0,0,,
2024-12-21,YouTube,,0,,0,0,0,0,,
2024-12-22,YouTube,,0,,0,0,0,0,,
2024-12-23,YouTube,,0,,0,0,0,0,,
2024-12-24,YouTube,,0,,0,0,0,0,,
2024-12-25,YouTube,,0,,0,0,0,0,,
2024-12-26,YouTube,,0,,0,0,0,0,,
2024-12-27,YouTube,,0,,0,0,0,0,,
2024-12-28,YouTube,,0,,0,0,0,0,,
2024-12-29,YouTube,,0,,0,0,0,0,,
2024-12-30,YouTube,,0,,0,0,0,0,,
